,weight_optimal
601236.SH,0.0033333311214716857
688008.SH,0.0033333311214716857
688012.SH,0.0033333311214716857
688005.SH,0.0033333311214716857
003816.SZ,0.0033333311214716857
688036.SH,0.0033333311214716857
688363.SH,0.0033333311214716857
688111.SH,0.0033333311214716857
601916.SH,0.0033333311214716857
601658.SH,0.0033333311214716857
601816.SH,0.0033333311214716857
603290.SH,0.018533326576274167
603195.SH,0.0033333311214716857
688169.SH,0.0033333311214716857
688396.SH,0.0033333311214716857
688126.SH,0.0033333311214716857
603392.SH,0.031179996071443217
600918.SH,0.0033333311214716857
688599.SH,0.0033333311214716857
603087.SH,0.0
688981.SH,0.0
688561.SH,0.0
688065.SH,0.0
300866.SZ,0.0
300896.SZ,0.0033333311214716857
300999.SZ,0.0033333311214716857
601995.SH,0.0033333311214716857
300919.SZ,0.0033333311214716857
300957.SZ,0.0033333311214716857
300979.SZ,0.0
605499.SH,0.0033333311214716857
600905.SH,0.0033333311214716857
601825.SH,0.0
601728.SH,0.0033333311214716857
601868.SH,0.0
600941.SH,0.0033333311214716857
001289.SZ,0.0
