,weight_optimal
300014.SZ,0.0033333311214716857
300015.SZ,0.0033333311214716857
600150.SH,0.0033333311214716857
600161.SH,0.0033333311214716857
600188.SH,0.0033333311214716857
600900.SH,0.0033333311214716857
600332.SH,0.0033333311214716857
600010.SH,0.0033333311214716857
600176.SH,0.0033333311214716857
600600.SH,0.0033333311214716857
600690.SH,0.0033333311214716857
600028.SH,0.0033333311214716857
600346.SH,0.0033333311214716857
002120.SZ,0.0033333311214716857
601390.SH,0.0033333311214716857
601618.SH,0.0033333311214716857
600219.SH,0.0033333311214716857
600837.SH,0.0033333311214716857
600132.SH,0.0033333311214716857
600115.SH,0.0033333311214716857
600104.SH,0.0033333311214716857
600031.SH,0.0033333311214716857
600352.SH,0.0033333311214716857
000977.SZ,0.0033333311214716857
002202.SZ,0.0033333311214716857
300059.SZ,0.0033333311214716857
601818.SH,0.0033333311214716857
600406.SH,0.0033333311214716857
600760.SH,0.0033333311214716857
600795.SH,0.0033333311214716857
600061.SH,0.0
600309.SH,0.0033333311214716857
600111.SH,0.0033333311214716857
600655.SH,0.0033333311214716857
600809.SH,0.0033333311214716857
600460.SH,0.0033333311214716857
600030.SH,0.0033333311214716857
600362.SH,0.0033333311214716857
600585.SH,0.0033333311214716857
600036.SH,0.0033333311214716857
000768.SZ,0.0033333311214716857
000776.SZ,0.0033333311214716857
000792.SZ,0.0033333311214716857
600519.SH,0.03326000521893558
600089.SH,0.0033333311214716857
600887.SH,0.0033333311214716857
600893.SH,0.0033333311214716857
600050.SH,0.0
600085.SH,0.0033333311214716857
300142.SZ,0.0033333311214716857
000651.SZ,0.0033333311214716857
000661.SZ,0.0033333311214716857
000703.SZ,0.0033333311214716857
000708.SZ,0.0033333311214716857
000858.SZ,0.0033333311214716857
002027.SZ,0.0033333311214716857
002032.SZ,0.0033333311214716857
002050.SZ,0.0033333311214716857
600048.SH,0.0033333311214716857
601398.SH,0.0033333311214716857
002236.SZ,0.0
601111.SH,0.0033333311214716857
002064.SZ,0.0033333311214716857
002271.SZ,0.0033333311214716857
002475.SZ,0.0033333311214716857
000876.SZ,0.0033333311214716857
601088.SH,0.0033333311214716857
601766.SH,0.0033333311214716857
601668.SH,0.0033333311214716857
002304.SZ,0.0033333311214716857
601688.SH,0.0
601628.SH,0.0033333311214716857
000100.SZ,0.0033333311214716857
600438.SH,0.0033333311214716857
601988.SH,0.0033333311214716857
601808.SH,0.0033333311214716857
601288.SH,0.0033333311214716857
000786.SZ,0.0033333311214716857
600745.SH,0.0033333311214716857
002008.SZ,0.0
002007.SZ,0.0033333311214716857
002001.SZ,0.0033333311214716857
002049.SZ,0.0033333311214716857
601898.SH,0.0033333311214716857
601117.SH,0.0033333311214716857
601919.SH,0.0033333311214716857
300122.SZ,0.0033333311214716857
300124.SZ,0.0033333311214716857
600018.SH,0.0033333311214716857
600183.SH,0.0033333311214716857
600763.SH,0.0033333311214716857
600383.SH,0.0033333311214716857
600588.SH,0.0033333311214716857
