日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng),权重(%)weight
20220831,000300,沪深300,CSI 300,002179,中航光电,"AVIC Jonhon Optronic Technology Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.253
20220831,000300,沪深300,CSI 300,601788,光大证券,Everbright Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.164
20220831,000300,沪深300,CSI 300,002142,宁波银行,Bank of Ningbo Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.619
20220831,000300,沪深300,CSI 300,601009,南京银行,Bank of Nanjing Co Ltd,上海证券交易所,Shanghai  Exchange,0.286
20220831,000300,沪深300,CSI 300,002074,国轩高科,"GUOXUAN HIGH-TECH CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.192
20220831,000300,沪深300,CSI 300,600606,绿地控股,Greenland Holdings Corporation Limited,上海证券交易所,Shanghai  Exchange,0.069
20220831,000300,沪深300,CSI 300,600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.328
20220831,000300,沪深300,CSI 300,600741,华域汽车,HUAYU Automotive Systems Company Limited,上海证券交易所,Shanghai  Exchange,0.154
20220831,000300,沪深300,CSI 300,600845,宝信软件,Shanghai Baosight Software Co Ltd,上海证券交易所,Shanghai  Exchange,0.117
20220831,000300,沪深300,CSI 300,600886,国投电力,"SDIC Power Holdings Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.174
20220831,000300,沪深300,CSI 300,002352,顺丰控股,"S.F. Holding Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.507
20220831,000300,沪深300,CSI 300,002252,上海莱士,Shanghai RAAS Blood Products Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.124
20220831,000300,沪深300,CSI 300,601989,中国重工,China Shipbuilding Industry Co Ltd,上海证券交易所,Shanghai  Exchange,0.226
20220831,000300,沪深300,CSI 300,300033,同花顺,"Hithink Royalflush Information Network Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.096
20220831,000300,沪深300,CSI 300,601857,中国石油,PetroChina Co Ltd,上海证券交易所,Shanghai  Exchange,0.272
20220831,000300,沪深300,CSI 300,601186,中国铁建,China Railway Construction Co Ltd,上海证券交易所,Shanghai  Exchange,0.179
20220831,000300,沪深300,CSI 300,601939,建设银行,China Construction Bank,上海证券交易所,Shanghai  Exchange,0.194
20220831,000300,沪深300,CSI 300,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,上海证券交易所,Shanghai  Exchange,2.486
20220831,000300,沪深300,CSI 300,002129,TCL中环,"TCL Zhonghuan Renewable Energy Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.57
20220831,000300,沪深300,CSI 300,601006,大秦铁路,Daqin Railway Co Ltd,上海证券交易所,Shanghai  Exchange,0.201
20220831,000300,沪深300,CSI 300,002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.738
20220831,000300,沪深300,CSI 300,601377,兴业证券,Industrial Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.226
20220831,000300,沪深300,CSI 300,000800,一汽解放,"FAW Jiefang Group Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.04
20220831,000300,沪深300,CSI 300,002371,北方华创,"NAURA Technology Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.389
20220831,000300,沪深300,CSI 300,002241,歌尔股份,GoerTek Inc,深圳证券交易所,Shenzhen  Exchange,0.407
20220831,000300,沪深300,CSI 300,002311,海大集团,Guangdong Haid Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.265
20220831,000300,沪深300,CSI 300,601328,交通银行,Bank of Communications Co LTD,上海证券交易所,Shanghai  Exchange,0.659
