日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng),权重(%)weight
20220831,000300,沪深300,CSI 300,300759,康龙化成,"Pharmaron Beijing Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.176
20220831,000300,沪深300,CSI 300,601865,福莱特,"Flat Glass Group CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.107
20220831,000300,沪深300,CSI 300,300763,锦浪科技,"Ginlong Technologies Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.179
20220831,000300,沪深300,CSI 300,600989,宝丰能源,"Ningxia Baofeng Energy Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.156
20220831,000300,沪深300,CSI 300,300782,卓胜微,Maxscend Microelectronics Company Limited,深圳证券交易所,Shenzhen  Exchange,0.171
20220831,000300,沪深300,CSI 300,601698,中国卫通,"China Satellite Communications Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.026
20220831,000300,沪深300,CSI 300,601236,红塔证券,"HONGTA SECURITIES CO., LTD.",上海证券交易所,Shanghai  Exchange,0.042
20220831,000300,沪深300,CSI 300,688008,澜起科技,"Montage Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.132
20220831,000300,沪深300,CSI 300,688012,中微公司,Advanced Micro-Fabrication Equipment Inc. China,上海证券交易所,Shanghai  Exchange,0.238
20220831,000300,沪深300,CSI 300,688005,容百科技,"Ningbo Ronbay New Energy Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.146
20220831,000300,沪深300,CSI 300,003816,中国广核,"CGN Power Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.174
20220831,000300,沪深300,CSI 300,688036,传音控股,"SHENZHEN TRANSSION HOLDINGS CO., LTD.",上海证券交易所,Shanghai  Exchange,0.086
20220831,000300,沪深300,CSI 300,688363,华熙生物,Bloomage Biotechnology Corporation Limited,上海证券交易所,Shanghai  Exchange,0.072
20220831,000300,沪深300,CSI 300,688111,金山办公,"Beijing Kingsoft Office Software, Inc.",上海证券交易所,Shanghai  Exchange,0.174
20220831,000300,沪深300,CSI 300,601916,浙商银行,"CHINA ZHESHANG BANK CO.,LTD",上海证券交易所,Shanghai  Exchange,0.142
20220831,000300,沪深300,CSI 300,601658,邮储银行,"POSTAL SAVINGS BANK OF CHINA CO., LTD.",上海证券交易所,Shanghai  Exchange,0.257
20220831,000300,沪深300,CSI 300,601816,京沪高铁,"Beijing-Shanghai High Speed Railway Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.476
20220831,000300,沪深300,CSI 300,603290,斯达半导,StarPower Semiconductor Ltd.,上海证券交易所,Shanghai  Exchange,0.142
20220831,000300,沪深300,CSI 300,603195,公牛集团,"GONGNIU GROUP CO., LTD.",上海证券交易所,Shanghai  Exchange,0.061
20220831,000300,沪深300,CSI 300,688169,石头科技,"Beijing Roborock Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.078
20220831,000300,沪深300,CSI 300,688396,华润微,China Resources Microelectronics Limited,上海证券交易所,Shanghai  Exchange,0.145
20220831,000300,沪深300,CSI 300,688126,沪硅产业,"National Silicon Industry Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.117
20220831,000300,沪深300,CSI 300,603392,万泰生物,"BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE CO., LTD.",上海证券交易所,Shanghai  Exchange,0.118
20220831,000300,沪深300,CSI 300,600918,中泰证券,"ZHONGTAI SECURITIES CO., LTD.",上海证券交易所,Shanghai  Exchange,0.108
20220831,000300,沪深300,CSI 300,688599,天合光能,"Trina Solar Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.406
20220831,000300,沪深300,CSI 300,603087,甘李药业,Gan & Lee Pharmaceuticals,上海证券交易所,Shanghai  Exchange,0.043
20220831,000300,沪深300,CSI 300,688981,中芯国际,Semiconductor Manufacturing International Corporation,上海证券交易所,Shanghai  Exchange,0.408
20220831,000300,沪深300,CSI 300,688561,奇安信,Qi An Xin Technology Group Inc.,上海证券交易所,Shanghai  Exchange,0.071
20220831,000300,沪深300,CSI 300,688065,凯赛生物,Cathay Biotech Inc.,上海证券交易所,Shanghai  Exchange,0.064
20220831,000300,沪深300,CSI 300,300866,安克创新,"Anker Innovations Technology Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.052
20220831,000300,沪深300,CSI 300,300896,爱美客,"IMEIK TECHNOLOGY DEVELOPMENT CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.253
20220831,000300,沪深300,CSI 300,300999,金龙鱼,"Yihai Kerry Arawana Holdings Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.143
20220831,000300,沪深300,CSI 300,601995,中金公司,China International Capital Corporation Limited,上海证券交易所,Shanghai  Exchange,0.128
20220831,000300,沪深300,CSI 300,300919,中伟股份,"CNGR Advanced Material Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.089
20220831,000300,沪深300,CSI 300,300957,贝泰妮,"Yunnan Botanee Bio-Technology Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.083
20220831,000300,沪深300,CSI 300,300979,华利集团,Huali Industrial Group Company Limited,深圳证券交易所,Shenzhen  Exchange,0.03
20220831,000300,沪深300,CSI 300,605499,东鹏饮料,"Eastroc Beverage (Group) Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.035
20220831,000300,沪深300,CSI 300,600905,三峡能源,"China Three Gorges Renewables (Group) Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.274
20220831,000300,沪深300,CSI 300,601825,沪农商行,"Shanghai Rural Commercial Bank Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.028
20220831,000300,沪深300,CSI 300,601728,中国电信,China Telecom Corporation Limited,上海证券交易所,Shanghai  Exchange,0.107
20220831,000300,沪深300,CSI 300,601868,中国能建,China Energy Engineering Corporation Limited,上海证券交易所,Shanghai  Exchange,0.153
20220831,000300,沪深300,CSI 300,600941,中国移动,China Mobile Limited,上海证券交易所,Shanghai  Exchange,0.151
20220831,000300,沪深300,CSI 300,001289,龙源电力,China Longyuan Power Group Corporation Limited,深圳证券交易所,Shenzhen  Exchange,0.017
