-------------------- starting training ---------------------
finishing episode #139; episode reward: 0.36767161046790375
finishing episode #140; episode reward: 0.2226467497952921
finishing episode #141; episode reward: 0.35953529057755185
finishing episode #142; episode reward: 0.41304358711323297
finishing episode #143; episode reward: 0.2851963250142745
finishing episode #144; episode reward: 0.4163201269042345
finishing episode #145; episode reward: 0.4189194954608283
finishing episode #146; episode reward: 0.23230230210017433
finishing episode #147; episode reward: 0.19842148068902343
finishing episode #148; episode reward: 0.24468747812440794
finishing episode #149; episode reward: 0.217826750553194
finishing episode #150; episode reward: 0.452185434510443
finishing episode #151; episode reward: 0.3054186034613895
finishing episode #152; episode reward: 0.3290785794744673
finishing episode #153; episode reward: 0.4510048437466937
finishing episode #154; episode reward: 0.4485115513360085
finishing episode #155; episode reward: 0.36550194350991405
finishing episode #156; episode reward: 0.41168748850541015
finishing episode #157; episode reward: 0.5053388101076742
finishing episode #158; episode reward: 0.45182859992818203
finishing episode #159; episode reward: 0.3596116818937287
finishing episode #160; episode reward: 0.3778493208458077
finishing episode #161; episode reward: 0.42079207513610195
finishing episode #162; episode reward: 0.35636612932441425
finishing episode #163; episode reward: 0.5789265595319288
finishing episode #164; episode reward: 0.3512281871159383
finishing episode #165; episode reward: 0.7427312848184973
finishing episode #166; episode reward: 0.3316246593695389
finishing episode #167; episode reward: 0.47893591786943823
finishing episode #168; episode reward: 0.5537505466975526
finishing episode #169; episode reward: 0.44155033161059043
finishing episode #170; episode reward: 0.4810688789655563
finishing episode #171; episode reward: 0.5170076980524883
finishing episode #172; episode reward: 0.6491574484016709
finishing episode #173; episode reward: 0.411385999534984
finishing episode #174; episode reward: 0.29562470931745166
finishing episode #175; episode reward: 0.4246839047823139
finishing episode #176; episode reward: 0.4636483720272153
finishing episode #177; episode reward: 0.5073865609168585
finishing episode #178; episode reward: 0.5186773240339746
finishing episode #179; episode reward: 0.3612598561473668
finishing episode #180; episode reward: 0.6927268596064393
finishing episode #181; episode reward: 0.41689782878422055
finishing episode #182; episode reward: 0.6512865342734332
finishing episode #183; episode reward: 0.4944254340106936
finishing episode #184; episode reward: 0.3910648081022805
finishing episode #185; episode reward: 0.6185162018126709
finishing episode #186; episode reward: 0.5092469660087261
finishing episode #187; episode reward: 0.4246187926013776
finishing episode #188; episode reward: 0.5125238694753321
finishing episode #189; episode reward: 0.3633623876901805
finishing episode #190; episode reward: 0.5319506480704933
finishing episode #191; episode reward: 0.5601913988022126
finishing episode #192; episode reward: 0.5134740681494454
